cluster,occurences_pl,length
ʃʧ,4910,2
zn,1839,2
fʧ,1058,2
pʦ,273,2
zd,1647,2
ʃk,938,2
mt,375,2
mtʃ,9,3
tʃ,2019,2
vr,1004,2
ŋk,795,2
xk,317,2
sp,4406,2
gl,609,2
ŋd,1282,2
pʃ,5760,2
kt,3036,2
vd,583,2
vdw,22,3
dw,754,2
mn,707,2
nʦ,559,2
mk,458,2
st,11839,2
zj,541,2
dn,1492,2
rb,179,2
dr,1206,2
sk,5391,2
mkʃ,16,3
kʃ,1103,2
mv,520,2
mvr,32,3
ŋʦ,2855,2
dɲ,1383,2
kk,161,2
nn,977,2
fk,1167,2
dv,1245,2
ɣm,319,2
ɣw,438,2
ʣv,177,2
ʣvɲ,9,3
vɲ,1116,2
rt,1164,2
rtʦ,56,3
tʦ,184,2
gɲ,280,2
ʃɲ,893,2
ŋʣ,765,2
ŋʣd,35,3
ʣd,55,2
mb,638,2
ɣv,711,2
ɣvr,20,3
zz,331,2
zzm,6,3
zm,933,2
mɣ,81,2
mɣw,10,3
ml,127,2
zb,773,2
rɲ,200,2
fp,1358,2
bl,763,2
zʤ,114,2
ʦk,702,2
nk,1614,2
pl,630,2
ps,422,2
gn,289,2
vb,361,2
vbl,14,3
sʦ,664,2
lk,1158,2
ŋʦp,100,3
ʦp,171,2
spw,58,3
pw,679,2
tk,2389,2
fkʃ,16,3
fkʃt,7,4
kʃt,74,3
ʃt,622,2
wʧ,106,2
gv,414,2
tt,517,2
ttʃ,29,3
rk,591,2
ŋʣz,81,3
ŋʣzɲ,4,4
ʣz,121,2
ʣzɲ,5,3
zɲ,343,2
mp,1901,2
gvʒ,9,3
vʒ,302,2
lʦ,143,2
tr,3021,2
rn,581,2
dz,283,2
dzr,3,3
zr,698,2
zdr,196,3
xp,750,2
wk,559,2
gr,1460,2
nz,181,2
nzɲ,17,3
ɣb,168,2
ɣbr,8,3
br,1258,2
fs,1915,2
fst,387,3
fstr,64,4
str,1185,3
rv,702,2
kʦ,452,2
kʦj,288,3
ʦj,2524,2
ʧw,472,2
gz,343,2
gzb,10,3
tp,1081,2
spʃ,313,3
pɲ,124,2
dʒ,340,2
pf,25,2
pfs,3,3
pfsp,3,4
fsp,636,3
xs,530,2
xst,178,3
xstr,73,4
xpʃ,208,3
zv,1469,2
dd,390,2
ddʒ,14,3
pt,218,2
ks,664,2
ksk,34,3
kskr,3,4
skr,190,3
kr,1903,2
mʤ,71,2
mʃ,395,2
zl,162,2
stn,100,3
tn,567,2
ɲʧ,965,2
kf,523,2
ŋʦn,91,3
ʦn,269,2
ʃs,169,2
ʃsp,33,3
mɲ,834,2
kst,138,3
kfk,45,3
ln,1494,2
wt,270,2
kl,653,2
mj,309,2
xsp,125,3
ɣg,124,2
ɣgr,38,3
ŋʦpʃ,31,4
ʦpʃ,53,3
tpl,38,3
tf,2029,2
rm,762,2
ŋt,1246,2
mm,326,2
ʧn,1749,2
sʃ,125,2
ʒɣ,63,2
ɣvʒ,13,3
ɲʤ,766,2
ŋʦʃ,105,3
ʦʃ,135,2
tkl,14,3
ŋʧ,363,2
ms,670,2
mst,229,3
gʒ,168,2
rf,331,2
ng,273,2
ʧm,223,2
ʒʤ,459,2
dm,350,2
lɲ,477,2
ft,891,2
ftl,6,3
tl,144,2
rʃ,295,2
md,355,2
mdv,23,3
zɣ,255,2
pn,118,2
ɣn,375,2
mpw,28,3
kfʧ,23,3
gw,1106,2
rʦ,250,2
db,384,2
dbʒ,16,3
bʒ,293,2
ʒɲ,452,2
ŋtk,234,3
kfʃ,14,3
fʃ,1471,2
gʤ,195,2
xt,194,2
ʒz,224,2
ʒzj,9,3
gɣ,63,2
rd,279,2
sw,1243,2
bw,165,2
rs,612,2
rsk,243,3
ɣʤ,78,2
xf,198,2
rp,246,2
rpk,4,3
pk,241,2
kp,391,2
zʒ,96,2
xpl,8,3
fl,95,2
ktr,75,3
ʧp,462,2
ʧpw,4,3
fʦ,519,2
ʧt,368,2
xʃ,209,2
xʃʧ,14,3
ʃʧw,3,3
zdv,148,3
ŋg,519,2
ŋgw,29,3
fsk,551,3
mstr,92,4
ɣr,380,2
lʧ,124,2
skw,134,3
kw,668,2
vg,242,2
ʃp,534,2
fʃr,105,3
ʃr,469,2
ns,805,2
nsp,112,3
ʧk,443,2
ʒʤʤ,14,3
ʤʤ,47,2
ɣj,118,2
gd,814,2
gdr,14,3
pr,4450,2
nst,235,3
nstr,90,4
nt,2015,2
xfk,15,3
sn,496,2
ʧʦ,74,2
ʒv,1107,2
ʃm,832,2
ɣɲ,294,2
mr,350,2
gvb,8,3
tfp,34,3
zzr,7,3
ɣvw,52,3
vw,742,2
ŋʦʧ,9,3
ʦʧ,17,2
ll,126,2
ʦs,112,2
ʦsk,32,3
ɲʤz,16,3
ɲʤzr,1,4
ʤz,283,2
ʤzr,6,3
zw,388,2
skʃ,101,3
ʦt,251,2
ʦtʃ,14,3
ʦf,95,2
ʦfʧ,15,3
kɲ,234,2
rg,431,2
kkʃ,4,3
vj,229,2
fpw,99,3
mf,253,2
mfp,42,3
ts,645,2
gzl,7,3
dl,1036,2
wkw,12,3
ɣl,212,2
ɲʤb,6,3
ʤb,218,2
nd,748,2
vm,296,2
xʧ,303,2
ɣz,358,2
ɣzɣ,9,3
gb,207,2
mw,243,2
ŋʦr,38,3
ʦr,63,2
ss,346,2
ssk,31,3
xsk,53,3
nf,325,2
nfʧ,4,3
zdj,64,3
dj,208,2
mpʃ,247,3
vbw,8,3
mz,548,2
mzb,24,3
zg,663,2
bz,51,2
bzn,7,3
ʒn,480,2
fʃl,11,3
ʃl,1001,2
bn,215,2
nʦk,44,3
ŋʦl,9,3
ʦl,45,2
znv,11,3
znvv,1,4
nv,198,2
nvv,1,3
vv,400,2
nvb,5,3
nvbr,2,4
vbr,37,3
mkr,54,3
vgw,35,3
mpʦ,41,3
stf,984,3
ʤv,389,2
lf,42,2
kn,428,2
mzn,29,3
kpʃ,86,3
dvr,40,3
mvd,9,3
ws,240,2
ŋts,12,3
ŋtst,5,4
tst,339,3
nʧ,180,2
dʒv,117,3
ŋtɲ,44,3
tɲ,812,2
ɣzb,13,3
mg,176,2
mgr,13,3
wv,282,2
wvl,6,3
vl,182,2
tkt,19,3
kfs,37,3
kfsp,23,4
ngl,16,3
ɣɣ,78,2
ɣɣw,37,3
vɣ,154,2
bɣ,61,2
ŋʦm,45,3
ʦm,77,2
tsk,60,3
mbl,9,3
ktʃ,17,3
msf,32,3
sf,820,2
fpl,12,3
ff,168,2
ŋʦw,3,3
ʦw,28,2
ɲʤʤ,10,3
nfk,5,3
mʃɲ,6,3
wp,475,2
wpʃ,98,3
ŋʧn,40,3
zvr,105,3
ŋʦf,40,3
ŋʦfp,13,4
ʦfp,17,3
ŋʦj,48,3
ʃkl,31,3
kpw,14,3
vz,809,2
vzd,38,3
vzdw,23,4
zdw,43,3
ʒb,181,2
ʒbʒ,1,3
ŋʦt,51,3
ŋʦtf,3,4
ʦtf,160,3
ɲʦ,220,2
fsw,53,3
mbʒ,8,3
nm,80,2
mpl,78,3
xʃɲ,6,3
msk,67,3
sst,73,3
fspl,2,4
spl,63,3
ttr,31,3
psp,21,3
ʦsf,13,3
ʦsfl,1,4
sfl,2,3
nɣ,36,2
nɣw,9,3
ŋʦʦ,9,3
ʦʦ,37,2
ʒvʤ,3,3
vʤ,184,2
fr,232,2
km,197,2
ffs,23,3
ffsp,13,4
ʒd,370,2
gzd,38,3
gzdw,7,4
mʧ,224,2
mʧt,3,3
mpk,11,3
ʃʤ,7,2
ʃʤk,7,3
ʤk,7,2
vzb,35,3
sʧ,119,2
mbɲ,6,3
bɲ,141,2
rʤ,265,2
ŋʦk,42,3
fkr,95,3
ɣzn,21,3
ɣzd,28,3
ʃn,443,2
skf,33,3
tpʃ,122,3
ʦfk,14,3
zɣɲ,5,3
znvr,2,4
nvr,5,3
xtʃ,21,3
wb,255,2
bv,63,2
sm,188,2
sj,421,2
zbr,68,3
ʃʦ,45,2
xfl,4,3
